Partlist

Exported from Motherboard Schematics - 1 - 29_Dec_2020.brd at 1/27/2021 3:21 PM

EAGLE Version 9.6.2 Copyright (c) 1988-2020 Autodesk, Inc.

Assembly variant: 

Part     Value                               Package                                   Library                                           Position (mil)        Orientation

C1                                           C1206                                     rcl                                               (4955 1610)           MR0
C2                                           C1206                                     rcl                                               (4847 1585)           R0
C3                                           C1206                                     rcl                                               (4934 1205)           R270
C4                                           C1206                                     rcl                                               (5015 719)            MR0
C5                                           C1206                                     rcl                                               (5051 107)            MR0
C6                                           C1206                                     rcl                                               (4645 215)            R0
C7                                           C1206                                     rcl                                               (5080 -360)           R270
C8                                           C1206                                     rcl                                               (5000 -400)           MR0
C9                                           C1206                                     rcl                                               (4570 -695)           R0
C10                                          C1206                                     rcl                                               (4715 -845)           MR180
C11                                          C1206                                     rcl                                               (4685 1630)           MR270
C12                                          C1206                                     rcl                                               (4915 1765)           R90
C13                                          C1206                                     rcl                                               (4935 1035)           R180
C14                                          C1206                                     rcl                                               (4785 925)            MR0
C15                                          C1206                                     rcl                                               (4820 25)             MR0
C16                                          C1206                                     rcl                                               (4895 340)            R90
C17                                          C1206                                     rcl                                               (4895 -365)           R180
C18                                          C1206                                     rcl                                               (4793 -512)           MR0
C19                                          C1206                                     rcl                                               (5000 -770)           R0
C20                                          C1206                                     rcl                                               (4920 -665)           MR180
C21      0.1uF                               C1206                                     rcl                                               (4750 1825)           MR180
C22      0.1uF                               C1206                                     rcl                                               (4749 1950)           R0
C23      0.1uF                               C1206                                     rcl                                               (4636 1375)           R0
C24      0.1uF                               C1206                                     rcl                                               (4735 780)            MR90
C25      0.1uF                               C1206                                     rcl                                               (4820 310)            MR180
C26                                          C1206                                     rcl                                               (4650 405)            R0
C27                                          C1206                                     rcl                                               (4750 -55)            R0
C28                                          C1206                                     rcl                                               (4790 -210)           MR180
C29                                          C1206                                     rcl                                               (4560 -875)           R0
C30                                          C1206                                     rcl                                               (4523 -728)           MR270
C31      1000uF                              E7,5-16                                   rcl                                               (3965 2845)           R270
C32      220uF                               E5-10,5                                   rcl                                               (4485 3180)           R270
C33      0.1uF                               C1206                                     rcl                                               (3770 2870)           MR270
C34      0.1uF                               C1206                                     rcl                                               (4360 3185)           MR270
C35      0.1uF                               C1206                                     rcl                                               (5295 3105)           MR270
C36      220uF                               E5-10,5                                   rcl                                               (5155 3110)           R270
C37      0.1uF                               C1206                                     rcl                                               (5415 3715)           MR180
C38      0.1uF                               C1206                                     rcl                                               (4605 3690)           MR270
C39      0.1uF                               C1206                                     rcl                                               (1420 -620)           R90
C40      220uF                               E5-10,5                                   rcl                                               (5430 3540)           R0
C41      0.1uF                               C1206                                     rcl                                               (2209 -720)           MR180
C42      0.1uF                               C1206                                     rcl                                               (2080 315)            MR0
C43      0.1uF                               C1206                                     rcl                                               (1580 295)            MR0
C44      0.1uF                               C1206                                     rcl                                               (1473 635)            MR270
C45      0.1uF                               C1206                                     rcl                                               (1968 561)            MR270
C46      0.1uF                               C1206                                     rcl                                               (1561 1006)           MR0
C47      0.1uF                               C1206                                     rcl                                               (2018 1140)           MR90
C48      0.1uF                               C1206                                     rcl                                               (1057 833)            MR180
C49      0.1uF                               C1206                                     rcl                                               (647 452)             MR270
C50      0.1uF                               C1206                                     rcl                                               (1193 1388)           MR270
C51      0.1uF                               C1206                                     rcl                                               (758 1334)            MR270
C52      0.1uF                               C1206                                     rcl                                               (3195 -1260)          MR0
C53      0.1uF                               C1206                                     rcl                                               (3915 -1245)          MR0
C54      0.1uF                               C1206                                     rcl                                               (2475 -1275)          MR0
C55      0.1uF                               C1206                                     rcl                                               (1015 -275)           MR180
C56      0.1uF                               C1206                                     rcl                                               (2650 -910)           MR270
C57      10uF                                E2,5-7                                    rcl                                               (1105 245)            R0
C58      10uF                                E2,5-7                                    rcl                                               (2245 -1125)          R270
C59      0.1uF                               C1206                                     rcl                                               (-611 2830)           MR90
C60      220uF                               E5-10,5                                   rcl                                               (4765 3715)           R270
C61      0.1uF                               C1206                                     rcl                                               (2530 3795)           MR270
C62      0.1uF                               C1206                                     rcl                                               (3805 3905)           MR270
C63      0.1uF                               C1206                                     rcl                                               (198 2082)            MR90
C64      0.1uF                               C1206                                     rcl                                               (226 -769)            MR270
C65      0.1uF                               C1206                                     rcl                                               (-205 -1180)          MR270
C66      0.1uF                               C1206                                     rcl                                               (-179 1609)           MR90
C67      10uF                                E2,5-7                                    rcl                                               (420 2093)            R90
C68      10uF                                E2,5-7                                    rcl                                               (-235 -560)           R270
C69      10uF                                E2,5-7                                    rcl                                               (-210 -1410)          R180
C70      10uF                                E2,5-7                                    rcl                                               (399 1580)            R90
C71      10uF                                E2,5-7                                    rcl                                               (-229 2375)           R0
C72      1000uF                              E7,5-16                                   rcl                                               (1580 3310)           R270
